681.6,1.4915,0.48,122.57,58.825,123.25,2.877,1.9289,1.0463,0.104,0.16,1.8571,0.064,0.104,1.6,0.032,0.048,0.1232,0.3728
667.21,1.4743,0.488,122.86,63.231,117.33,2.8759,1.9507,1.0631,0.104,0.16,1.8571,0.064,0.104,1.6,0.024,0.04,0.1248,0.3936
704.14,1.4254,0.056,106.79,57.571,112.93,2.7965,1.9619,0.92924,0.072,0.112,1.8,0,0.04,0,0,0.04,0.1264,0.4032
643.86,1.5054,0.032,128.85,59.674,116.42,2.9257,1.9435,1.1244,0.096,0.152,1.7143,0.056,0.096,1.4,0.024,0.04,0.1264,0.3856
994.94,1.0518,0.064,107.24,66.874,132.15,2.7911,2.6536,0.99644,0,-0.32,0,0,-0.32,0,0,-0.32,-0.328,0.7904
631.86,1.5005,0.48,117.02,70.878,111.12,2.8886,1.9251,1.0934,0.096,0.152,1.7143,0.056,0.096,1.4,0.016,0.024,0.1248,0.4176
785.28,1.2122,0.472,116.31,73.544,107.51,2.8028,2.3122,0.98795,0.056,0.096,1.4,0,0.04,0,0,0.04,0.1248,0.4384
953.62,1.139,0.04,112.41,73.373,110.8,2.3027,2.0218,0.52794,0,0.168,0,0,0.168,0,0,0.168,0.1056,0.328
861.07,1.2883,0.48,113.3,75.607,109.15,2.4306,1.8867,0.55546,0,-0.072,0,0,-0.072,0,0,-0.072,0.1008,0.3376
969.5,1.1847,0.52,103.36,56.561,115.67,2.6446,2.2322,0.64996,0.064,0.104,1.6,0,0.04,0,0,0.04,0.1248,0.3632
835.2,1.364,0.496,105.54,76.592,107.82,2.6593,1.9496,0.62276,0.224,0.296,3.1111,0.104,0.16,1.8571,0.08,0.12,0.1264,0.416
790.66,1.2915,0.504,111.57,65.497,112.81,2.6373,2.042,0.79764,0.112,0.168,2,0.056,0.088,1.75,0.024,0.032,0.1248,0.416
778.45,1.3297,0.024,111.9,65.496,112.42,2.6959,2.0275,0.8084,0,-0.192,0,0,-0.192,0,0,-0.192,0.0928,0.264
606.24,1.5061,0.52,119.34,57.629,104.19,2.9426,1.9538,1.1471,0.096,0.16,1.5,0.064,0.104,1.6,0.024,0.04,0.1376,0.4288
750.74,1.3725,1.056,100.18,63.757,114.76,2.8706,2.0915,0.94412,0.096,0.168,1.3333,0.04,0.072,1.25,0,0.032,0.1456,0.3808
270.16,1.3414,0.544,112.08,59.12,62.334,0.71403,0.5323,0.25651,0.104,0.184,1.3,0.056,0.096,1.4,0,0.04,0.1808,0.4864
270.16,1.3414,0.544,112.08,59.12,62.334,0.71403,0.5323,0.25651,0.104,0.184,1.3,0.056,0.096,1.4,0,0.04,0.1808,0.4864
292.43,1.4231,0.528,121.11,75.554,87.586,0.69925,0.49137,0.26213,0.096,-0.488,-0.16438,0.048,-0.536,-0.082192,0,-0.584,-0.3968,0.9184
276.13,1.4392,0.136,123.15,76.235,82.979,0.73412,0.5101,0.30017,0.08,0.136,1.4286,0.032,0.048,2,0,0.016,0.152,0.488
289.85,1.4588,0.12,119.75,76.206,92.7,0.7333,0.50269,0.29556,0.104,0.168,1.625,0.064,0.104,1.6,0.024,0.04,0.16,0.4864
